name,album,artist,mood
Send Me on My Way,Music From Party of Five,Various Artists,Happy
Seven Nation Army,Elephant,The White Stripes,Happy
She Kind of Looks Like You,She Kind of Looks Like You,AFTRHOURS,Sad
She Remembers (Piano Solo),She Remembers (Piano Solo),Pieter Savenberg,Calm
Shifts Of Light,Still Waters,Avery Young,Calm
Shimmer,The Best of Fuel,Fuel,Energetic
Shine,Shine,Manse,Happy
Should Have Known Better,Carrie & Lowell,Sufjan Stevens,Sad
Should I Stay or Should I Go - Remastered,Hits Back,The Clash,Happy
Silhouette,Have You In My Wilderness,Julia Holter,Sad
Silver Lining,Silver Lining,Pieter de Graaf,Calm
Simple Song,The Boy Who Cried Wolf,Passenger,Sad
Sinking Man - The Walking Dead Soundtrack,The Walking Dead (AMC’s Original Soundtrack – Vol. 1),Various Artists,Sad
Sintra,Reflections,Made Of Gold,Calm
Siren Song - Radio Edit,Siren Song,CamelPhat,Happy
Skinny Love,"For Emma, Forever Ago",Bon Iver,Sad
Sleep,Son of a Lady,Hope Sandoval and the Warm Inventions,Sad
Slow It Down,The Lumineers,The Lumineers,Sad
Smile,"Alright, Still (Deluxe)",Lily Allen,Happy
Smooth Criminal,Anthology,Alien Ant Farm,Energetic
Snowfall,Piano Piano,Florejan,Calm
Solitude,Solitude,Joep Beving,Calm
Some Kind Of Love,Wonderful Wonderful,The Killers,Sad
Somebody - Josef Bamba Remix Radio Edit,Somebody (Josef Bamba Remixes),Oliver Ingrosso,Happy
Somebody That I Used To Know,Making Mirrors,Gotye,Happy
Someday,Chapter I,City of the Sun,Calm
Someone Like You,21,Adele,Sad
Someone New,Someone New,Thomas Gold,Happy
Somewhere Only We Know,Somewhere Only We Know,Valentin,Sad
Son of a Lady,Son of a Lady,Hope Sandoval and the Warm Inventions,Sad
"Song to the Siren - Recorded at Strongroom Studios, London",Spotify Singles,Wolf Alice,Sad
South Beach,South Beach,Vicetone,Energetic
Spirit In The Sky,Spirit In The Sky,Norman Greenbaum,Happy
Start Me Up - Remastered,Tattoo You (2009 Re-Mastered),The Rolling Stones,Happy
Stay,Stay,Gracie Abrams,Sad
Stay Here,Stay Here,Olaars & Will Philips,Energetic
Stay Home,Stay Home,Golden Sleep,Calm
Stay Still,Stay Still,Alberto L. Ferro,Calm
"Steady, As She Goes",Broken Boy Soldiers,The Raconteurs,Happy
Still Alive,Still Alive,Mastrovita,Energetic
Still Waiting to Start,"The Sun Will Come up, The Seasons Will Change & The Flowers Will Fall",Nina Nesbitt,Sad
Stormy Weather,Stormy Weather,Lost Horse Mine,Calm
Story Of A Violin,Story Of A Violin,Sandro Silva,Happy
Strange Dreams,Solo Piano,Ella van der Woude,Calm
Streets,Rivals,Kensington,Happy
Stricken,Ten Thousand Fists,Disturbed,Energetic
Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,Happy
Stupify,The Sickness (10th Anniversary Edition),Disturbed,Energetic
Such Great Heights,Around The Well,Iron & Wine,Sad
Suds & Soda,Worst Case Scenario,dEUS,Happy
Suhpratti,Hum,Parazal,Calm
Summer Boredom,Solo Piano,Ella van der Woude,Calm
Summer-Blink,Treasure Hiding: The Fontana Years,Cocteau Twins,Sad
Sun In Our Eyes - Don Diablo Remix,Sun In Our Eyes (Don Diablo Remix),MØ,Happy
Sunspots,Comforter,Bodywash,Sad
Supermarket,Manuela,Manuela,Sad
Supersonic (feat. Christian Burns),Supersonic (feat. Christian Burns),Swanky Tunes,Energetic
Superstition,Number 1's,Stevie Wonder,Happy
Surrender,Surrender,Natalie Taylor,Sad
Swerve City,Koi No Yokan,Deftones,Energetic
Take Everything,Take Everything,Gareth Emery,Happy
Take on Me,Hunting High and Low,a-ha,Happy
Takeoff,Takeoff,Silo Silo,Calm
Talking In Your Sleep,In Heat,The Romantics,Happy
Target,Target,Tom Kalani,Calm
Teardrop - Remastered 2006,Bite Size Massive Attack,Massive Attack,Sad
Teardrops - Single Version,Music For Groovin',Various Artists,Happy
Tears Don't Fall,The Poison,Bullet For My Valentine,Energetic
Teenage Dirtbag,Wheatus,Wheatus,Happy
Tegel,Tegel,Lambert,Calm
Telling Tales,Telling Tales,Song Sung,Sad
Thank You for the Venom,Three Cheers for Sweet Revenge,My Chemical Romance,Energetic
The A Team,The A Team,Ed Sheeran,Sad
The Boys Are Back In Town,Jailbreak (Deluxe Edition),Thin Lizzy,Happy
The Calvary Cross,Live in Studio,Still Corners,Sad
The Choice,The Last of Us,Gustavo Santaolalla,Calm
The Dazzler,Ex:Re,Ex:Re,Sad
The Disappearance of the Unmoved Mover,The Disappearance of the Unmoved Mover,So Vea,Calm
The Discovery,The Discovery,Sulfur Springs,Calm
The Dreamer,The Dreamer,Charles Bolt,Calm
The Five Times I Loved You,Pyramid Train,Cora Zea,Calm
The Funeral,The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Various Artists,Sad
The Good in Goodbye (Alternate Version),The Good in Goodbye (Alternate Version),Alexander Wren,Sad
The Hardest Button To Button,Elephant,The White Stripes,Energetic
The Hell Song,All The Good Sh**. 14 Solid Gold Hits (2000-2008),Sum 41,Energetic
The Hummingbird,The Hummingbird,Barry Adamson,Sad
The Hunger,The Hunger,Bat For Lashes,Sad
The Joker,The Joker,Steve Miller Band,Happy
The King (with Dzeko),The King (with Dzeko),Dimitri Vangelis & Wyman,Energetic
The Message,Slow Air,Still Corners,Sad
The Mind's Eye,This Ascension is Ours,Song Sung,Sad
The Night We Met,Strange Trails,Lord Huron,Sad
The Night We Met - Rework,The Night We Met,Nico Casal,Calm
The Safety Dance,Greatest,Men Without Hats,Happy
The Snail’s Teachings II: The Wonders of,In Between (B-Side),Steven Vrancken,Calm
The Temporary,The Temporary,Kate Teague,Sad
The Times Are Tired,Views from Sixteen Stories,Alaskan Tapes,Calm
The Wall,The Wall,Alok,Energetic
There For You,There For You,Gorgon City,Energetic
Thin White Duchess,Thin White Duchess,Martin Thulin,Sad
Thirteen Thirty-Five,This Silence Kills,Dillon,Sad
This Reminds You - Satie Remix,This Reminds You,Remy Van Kesteren,Calm
Throw Me a Bone,Throw Me a Bone,Goat Girl,Sad
Tilted Towers,Tilted Towers,Alesso,Happy
Time Out,Time Out,Amoll,Calm
Time Travel,Rooftops,AMBIE,Calm
Tiptoeing,Tiptoeing,Jacco Wynia,Calm
To Build A Home,Ma Fleur,The Cinematic Orchestra,Sad
To The Hilt,To The Hilt,BANKS,Sad
To the Moon,To the Moon,Junodream,Sad
Tomorrow,Tomorrow,Annelie,Calm
Toxic,Rattlesnake!,A Static Lullaby,Energetic
Transatlanticism,Transatlanticism,Death Cab for Cutie,Sad
Trastevere,Universo en Miniatura Vol. 1,Sebastián Escofet,Calm
Trees - Solo Piano,Trees,Patrick Hamilton,Calm
Trying My Best,Trying My Best,Anson Seabra,Sad
Tu Vois,Tu Vois,Bram de Looze,Calm
Tubthumping,Tubthumper,Chumbawamba,Happy
Tuesday,Tuesday,Annelie,Calm
Twist And Shout - Remastered 2009,Please Please Me (Remastered),The Beatles,Happy
Two Princes,Pocket Full Of Kryptonite,Spin Doctors,Happy
UFOF,UFOF,Big Thief,Sad
Under A Killing Moon,The Artist In The Ambulance,Thrice,Energetic
Understudy,Understudy,Josie Mehlin,Calm
Underwater - Tinlicker Remix,Underwater (Tinlicker Remix),Gabriel & Dresden,Happy
Unintended,Showbiz,Muse,Sad
United,United,Armin van Buuren,Happy
Universe,Universe,Noah Vanden Abeele,Calm
Unmade,Unmade,Thom Yorke,Sad
Up Against (Blackout),Louder Now (Deluxe),Taking Back Sunday,Energetic
Uprising,The Resistance,Muse,Energetic
Used to Be,Used to Be,Jurrivh,Calm
Vagabond,Vagabond,Steve Gunn,Sad
Vague,Envision,Amaranth Cove,Calm
Valse Lente,Valse Lente,Wilson Trouvé,Calm
Vamos,Vamos,Dimitri Vangelis & Wyman,Energetic
Venom,Venom,Dave202,Happy
Video Games - Remastered,Born To Die - The Paradise Edition,Lana Del Rey,Sad
Video Killed The Radio Star,The Age Of Plastic,The Buggles,Happy
Virtual Insanity - Remastered,High Times - The Singles 1992 - 2006,Jamiroquai,Happy
Viva La Vida,Viva La Vida (Prospekt's March Edition),Coldplay,Happy
Voices,The Sickness (10th Anniversary Edition),Disturbed,Energetic
Wait For Me,Wanderlust,Steve Brian,Happy
Waiting,Skisser,Alice Boman,Sad
Waiting For Tomorrow (feat. Mike Shinoda),BYLAW EP,Martin Garrix,Energetic
Waiting On the World to Change,Continuum,John Mayer,Happy
Waiting like the Storm,Nocturne in Green,Rand Aldo,Calm
War,Rivals,Kensington,Happy
Wash It All Away,Got Your Six (Deluxe),Five Finger Death Punch,Energetic
Watching Clouds Disappear,Watching Clouds Disappear,Florejan,Calm
Water Colors,Water Colors,Star Slide,Calm
Water Lillies,Water Lillies,A Teardrop In The Lake,Calm
Watersong,Wings Of Joy (Expanded Edition),Cranes,Sad
Wave of Mutilation,Wave of Mutilation,Beacon,Sad
We Are Your Friends - Justice Vs Simian,We Are Your Friends,Simian,Happy
We Wait,For Their Love,Other Lives,Sad
Welcome Home,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,Coheed and Cambria,Energetic
"Welcome Home, Son",Ghost,Radical Face,Sad
What I Like About You,What I Like About You (And Other Romantic Hits),The Romantics,Happy
What Should Have Been,What Should Have Been,Ron Verboom,Calm
What You Love You Must Love Now,Everywhere And Right Here,The Six Parts Seven,Calm
What's Good,What's Good,Fenne Lily,Sad
When The World Stood Still,When The World Stood Still,Florejan Verschueren,Calm
When They Come,When They Come,Threading Hair,Calm
When You Left,When You Left,Rouge Haven,Calm
Where Your Mind Wants to Go - RONE Remix,Where Your Mind Wants to Go (RONE Remix),Blonde Redhead,Sad
While the Rest of the World Sleeps,While the Rest of the World Sleeps,Josh Kramer,Calm
Whiskey In The Jar,"Garage, Inc.",Metallica,Energetic
White Lies,We Sound Electric,Stacy Crowne,Energetic
White Lies - Guy Arthur Remix,White Lies (The Remixes),The Him,Energetic
White Sparks,White Sparks,Wilson Trouvé,Calm
Whitehaven,Whitehaven,Martèn LeGrand,Calm
Why Can't We Be Friends?,Why Can't We Be Friends?,War,Happy
Wild Trails,Wild Trails,Epi-Soothe,Calm
Wild Wild Son - Club Mix,Wild Wild Son (Club Mix),Armin van Buuren,Energetic
Willet,Swan,Dust Follows,Calm
Winter Scenery,Winter Scenery,Wilson Trouvé,Calm
Wish I Was Better,Wish I Was Better,Kina,Sad
Wish You Were Here - 2011 Remastered Version,Wish You Were Here [2011 - Remaster] (2011 Remastered Version),Pink Floyd,Sad
Wished,Wished,Sorry,Sad
Without,Inertia,The Exies,Energetic
Wolkendans,Soms Alleen,Doeke,Calm
Wonderful Together (feat. Envy Monroe),Wonderful Together (feat. Envy Monroe),Blasterjaxx,Happy
Wonderwall,(What's the Story) Morning Glory?,Oasis,Happy
Woodland Heart,Woodland Heart,Ghost Of Summer,Calm
Words I Heard,Words I Heard,Julia Holter,Sad
Worlds Collide - Edison Cole Remix,Worlds Collide (Remixes),NERVO,Happy
Would You Rather,Stranger in the Alps,Phoebe Bridgers,Sad
Wrong Way,Sublime Greatest Hits,Sublime,Energetic
Yam Yam,Yam Yam,No Vacation,Sad
You Are Safe With Me,delta/alpha,Jef Martens,Calm
You Can't Rely on My Love,You Can't Rely on My Love,Mordkey,Happy
You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,Happy
You Were Bored,You Were Bored,Loyal Lobos,Sad
"You're Gonna Go Far, Kid",21 Alt Rock Anthems,Various Artists,Energetic
You're My Best Friend - Remastered 2011,Queen 40 Limited Edition Collector's Box Set,Queen,Happy
Your Turn Now,Your Turn Now,Aaron Smith,Sad
Youth,The Wild Youth EP,Daughter,Sad
alpha waves,alpha waves,Eucalyptic,Calm
blue,blue,Kamal.,Sad
coeur noir,coeur noir,Leo Nocta,Calm
comethru,"summer,",Jeremy Zucker,Sad
cry on airplanes,cry on airplanes,Julian,Sad
i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,Clinton Kane,Sad
lovely (with Khalid),lovely (with Khalid),Billie Eilish,Sad
mellow,sleep escape,cloudcrush,Calm
no song without you,no song without you,HONNE,Sad
pass you by,the voicenotes,Alaina Castillo,Sad
the frost,sentience,praam,Calm
the theme song,notion,Teodor Wolgers,Calm
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Sad
windcatcher,windcatcher,Leo Nocta,Calm
yellow is the color of her eyes,yellow is the color of her eyes,Soccer Mommy,Sad
you broke me first,you broke me first,Tate McRae,Sad
you were good to me,brent,Jeremy Zucker,Sad
æfre,æfre,praam,Calm
